Matter Name,Duration Days,Complexity Score,Approval Layers,Revision Count,Counsel Type,Matter Type,Drafting Status,Open Date
Contract for ECM Study of Planned Drilling Activiites,29,2,3,4,Internal,Technical,Completed,17/05/2021
Contract for Drilling Site Location Preparation Work,2,2,2,1,Internal,Technical,Completed,25/05/2021
Contract for Security Risk Assessment Plan of IB Field,20,2,3,1,Internal,Technical,Completed,8/6/2021
Contract for the Deployment of Lightning Arrestor Protection,12,2,3,2,Internal,Technical,Completed,12/6/2021
"Contract for ESR, PIAR and EES Study of Assa Field",6,2,3,1,Internal,Technical,Completed,15/06/2021
Contract for Noise Mapping Study,5,2,3,1,Internal,Technical,Completed,16/06/2021
Contract for the Supply of Spare Parts for Weatherford Pump,8,2,3,2,Internal,Technical,Completed,2/7/2021
Contract for Access Road Construction and Rig Location Preparation Work,3,2,3,1,Internal,Technical,Completed,1/8/2021
Contract for In-Frame Overhaul On Gas Generator,4,2,3,1,Internal,Technical,Completed,5/8/2021
Contract for the Procurment of Spares for Compressor 2,5,2,3,1,Internal,Technical,Completed,5/8/2021
Contract for Supply of Oil Spill Response Equipment,16,2,3,3,Internal,Technical,Completed,30/08/2021
Contract for the Inspection of Tubulars,10,2,3,1,Internal,Technical,Completed,20/09/2021
"Contract for 8"" Deliveryline Debottlenecking Project",2,2,3,1,Internal,Technical,Completed,10/11/2021
Contract for the Procurement of Long Lead Items,16,2,3,2,Internal,Technical,Completed,20/12/2021
Contract for Assa Competent Person's Report,13,2,3,2,Internal,Technical,Completed,27/01/2022
Contract for Environmental Compliance Monitoring ,17,2,3,2,Internal,Technical,Completed,29/01/2022
Call-Off Contract for Catering Services,33,2,3,3,Internal,Technical,Completed,3/2/2022
Call-Off Contract for Routine Core Analysis and Core Storage Analysis,7,2,3,1,Internal,Technical,Completed,3/3/2022
Contract for the Provision of Special Core Services,14,2,3,2,Internal,Technical,Completed,3/3/2022
Service Level Agreement for Catering Service,4,2,3,1,Internal,Technical,Completed,24/03/2022
Contract for the Provision of Medical Services and Fitness to Work Assessment,6,2,1,1,Internal,Technical,Completed,31/03/2022
Contract for the Construction of 3-Arm Loading Bay,6,2,4,1,Internal,Technical,Completed,3/5/2022
Call-Off Contract for the Provision of Technical Manpower Services,5,2,3,1,Internal,Technical,Completed,12/5/2022
Contract for the Purchase of NETAPP Storage Solutions,50,2,3,2,Internal,Technical,Completed,1/6/2022
Call-Off Contract for BHP Survey,45,3,3,4,Internal,Technical,Completed,13/06/2022
Contract for Facility Modification for Safe Recovery of Crude,6,2,3,3,Internal,Technical,Completed,9/8/2022
Contract for Supervision of Civil Work,2,2,3,1,Internal,Technical,Completed,28/08/2022
Contract for the Modification of Crude Storage Tank,12,2,3,2,Internal,Technical,Completed,10/9/2022
"Contract for De-Sanding , Cleaning and Hydrotest Capacity Re-establishment",14,2,3,1,Internal,Technical,Completed,1/11/2022
Contract for Hazardous Waste End to End Management,6,2,3,1,Internal,Technical,Completed,8/11/2022
EPC Contract for Refinery Phase 2,233,5,4,31,External,Technical,Completed,23/01/2023
Contract for Puchase of Spares and Overhaul of Gas Compressor 1 Engine,99,2,3,8,Internal,Technical,Completed,13/02/2023
Call-Off Contract for Assa Wellbore Stability Study,14,2,3,3,Internal,Technical,Completed,15/02/2023
Contract for Geomechanical Studies,14,2,3,3,Internal,Technical,Completed,15/02/2023
Standard Terms for Four Wellhead and Xmas Tree System,40,2,3,4,Internal,Technical,Completed,3/3/2023
Contract for IB Perimeter Fencing,4,2,3,1,Internal,Technical,Completed,5/6/2023
Contract for the Modification of IB Flowstation for Incresed Gas Intake,5,2,3,2,Internal,Technical,Completed,5/7/2023
Crude Transportation Agreement,331,5,4,38,External,Commercial,Completed,4/9/2023
Contract for Assa and IB Delivery Well Assuarance,15,2,3,3,Internal,Technical,Completed,14/09/2023
Contract for Detailed Engineering and Design of Storage Tanks,6,2,3,1,Internal,Technical,Completed,21/11/2023
Land Lease Agreement for Storage Tank Space,90,3,3,13,External,Commercial,Completed,1/12/2023
Addendum No. 1 to the Contract for Procurement of Long Lead Items,2,2,3,1,Internal,Technical,Completed,23/01/2024
